Year,Regular,nn
2013,Occasional,114
2013,Regular,923
2014,Occasional,106
2014,Regular,1612
2015,Occasional,169
2015,Regular,1757
2016,Occasional,313
2016,Regular,1782
2017,Occasional,303
2017,Regular,3058
